(T246,(count: 39, mean: 7.020362, stdev: 0.113995, max: 7.417580, min: 6.897705))
(T198,(count: 244, mean: 6.611267, stdev: 0.425771, max: 7.960324, min: 5.752573))
(T10,(count: 227, mean: 7.447602, stdev: 0.134766, max: 8.237479, min: 7.077498))
(T102,(count: 55, mean: 6.096616, stdev: 0.403186, max: 7.362011, min: 5.703782))
(T205,(count: 553, mean: 6.764606, stdev: 0.274113, max: 8.087948, min: 6.234411))
(T44,(count: 255, mean: 7.321988, stdev: 0.197526, max: 8.237479, min: 6.851185))
(T202,(count: 506, mean: 6.907136, stdev: 0.295997, max: 8.146130, min: 6.536692))
(T282,(count: 1073, mean: 6.391484, stdev: 0.457626, max: 8.045588, min: 5.541264))
(T64,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T80,(count: 338, mean: 7.402323, stdev: 0.214627, max: 8.357024, min: 7.090077))
(T21,(count: 5281, mean: 6.643543, stdev: 0.453632, max: 8.192847, min: 4.499810))
(T257,(count: 3317, mean: 6.793805, stdev: 0.325052, max: 8.128585, min: 6.142037))
(T297,(count: 1702, mean: 6.685896, stdev: 0.395041, max: 8.146130, min: 5.598422))
(T3,(count: 127, mean: 6.842943, stdev: 0.264139, max: 7.718685, min: 6.445720))


